cap_number,map,map_author,time_capped,time_played,twitch_rating,i4g_difficulty
1,CTF-BT-CommonMap-VF,Vimper0,22-12-2021 20:35:51,0:02:06,0,1
2,CTF-BT-(Tez)SpaceWalk-v2,Tezzanator,22-12-2021 20:47:23,0:11:29,0,3
3,CTF-BT-Afterburn-fix,-[oG][riven]-,22-12-2021 20:55:03,0:02:05,0,2
4,CTF-BT-DeadSimple-fix,hemortal,22-12-2021 20:59:35,0:04:04,0,2
5,CTF-BT-Coastal-Temple2,Ozma777,22-12-2021 21:36:18,0:22:21,0,4
6,CTF-BT-KidSpeed-fixed,z3u5,22-12-2021 21:44:49,0:07:54,0,4
7,CTF-BT-(K-A)HorrorCE,Krool,22-12-2021 21:49:26,0:03:49,0,7
8,CTF-BT-JmX-Castlevania,jomax,22-12-2021 22:20:06,0:30:15,0,7
9,CTF-BT-(CN)Vagalam-v2,[i4g]CouilleNoire,22-12-2021 23:00:41,0:26:59,0,6
10,CTF-BT-CuttinCorners,Junkyard Willie,22-12-2021 23:03:02,0:01:33,0,1
11,CTF-BT-Jereth(censored),Unknown,22-12-2021 23:06:39,0:03:23,4.75,1
12,CTF-BT-(EK)TeamGeist-v2,EvilKing,23-12-2021 18:12:38,0:02:44,3,2
13,CTF-BT-PisoMojado-v3,UTAJake,23-12-2021 18:18:46,0:03:46,2.25,2
14,CTF-BT-(Q)BreachV2-(dp,CULPRIT,23-12-2021 19:04:39,0:39:36,4.67,4
15,CTF-BT-Ancient-Rush-Reloaded,}ElitE{HellFire` | Pawel,23-12-2021 19:14:44,0:07:43,5,3
16,CTF-BT-KcirevaM,EmilYoo,23-12-2021 19:20:43,0:05:03,3.6,2
17,CTF-BT-5Min-Level3,Bunneh.,23-12-2021 19:25:19,0:01:29,5,1
18,CTF-BT-CapThisBitches,{DSI}FireHaze & [MOD]Bubzy,23-12-2021 19:28:13,0:01:13,3.33,1
19,CTF-BT-(I)SecretOps,iKwah^&lt;3.uK,23-12-2021 19:32:29,0:02:06,3,2
20,CTF-BT-HardAsNailsv2,Unknown,23-12-2021 19:42:48,0:08:46,2.83,7
21,CTF-BT-Ancienttempleitsadam-v2,itsadam_,23-12-2021 20:01:33,0:08:35,1.8,2
22,CTF-BT-Solitude-v3,Marceline,23-12-2021 21:55:40,0:32:31,5,9
23,CTF-BT-CTTT-(NBK),NOT FOUND,23-12-2021 22:12:36,0:04:28,1.4,0
24,CTF-BT+(Sv-Nw)Leanne-vF,ramdrop,23-12-2021 22:20:22,0:06:58,2.17,2
25,CTF-BT-(ow)Rusheng,OwYeaW,23-12-2021 22:26:44,0:05:40,5,3
26,CTF-BT-ArcaneBunny,-Whitey-,23-12-2021 22:40:22,0:03:19,3,1
27,CTF-BT+Bunny(Bar)ricade,|AoB|BarCode,23-12-2021 22:49:53,0:09:09,2.8,1
28,CTF-BT-(CN)SweetEscape-v2,[i4g]CouilleNoire,23-12-2021 23:17:28,0:26:31,2,6
29,CTF-BT-Torture][,madz,23-12-2021 23:39:30,0:20:59,4.6,7
30,CTF-BT-JumpRush,GiorgiO.pX5,23-12-2021 23:42:55,0:01:25,2.2,1
31,CTF-BT-RO-DecayedCollapse-v3,NuLL,23-12-2021 23:48:49,0:01:19,9,7
32,CTF-BT-[DQ]Smileys!,Unknown,23-12-2021 23:59:32,0:03:54,1.33,1
33,CTF-BT-Relentless,Zanmato,24-12-2021 00:09:04,0:08:23,3.5,3
34,CTF-BT-Multiple,p-a-w-e-l,24-12-2021 00:16:44,0:06:44,2.67,2
35,CTF-BT-(DuS)ForMarek,EmilYoo,24-12-2021 00:25:19,0:07:27,3,4
36,CTF-BT-(Dub)Ruins_i4g_v2,DuBBeLvlA,24-12-2021 00:28:02,0:01:49,2.75,2
37,CTF-BT-(E)HatefullOrbit,EL!TE,24-12-2021 00:30:23,0:01:13,1.5,1
38,CTF-BT-(D)Citypwns_dbl,NOT FOUND,24-12-2021 00:44:35,0:13:19,1.4,3
39,CTF-BT-GrandCanyon-v3,StarLight,24-12-2021 01:05:22,0:13:51,2,4
40,CTF-BT-ArcaneTemple-dbl,Shane Caudle Modified by *BT*$pId3rMaN and fixed by Pawel,24-12-2021 02:02:01,0:04:35,1.33,1
41,CTF-BT-(XX)DeepChaos-v2,Xanx,24-12-2021 02:17:13,0:14:43,1,5
42,CTF-BT-(CN)StrikeDay,[i4g]CouilleNoire,24-12-2021 02:26:43,0:08:43,3.75,2
43,CTF-BT-Fleahole-v2,Superfly,24-12-2021 02:31:40,0:04:55,1.75,2
44,CTF-BT-(UTW)ESC-Xtreme,[UTW]R@m$e$,24-12-2021 03:16:30,0:44:09,3.6,6
45,CTF-BT-(Kh)Catch_The_Frog-v3,[i4g]KhEnBu,28-12-2021 18:28:49,0:06:48,1.29,3
46,CTF-BT-LavaRush,macz,28-12-2021 18:30:35,0:01:19,1,1
47,CTF-BT-SkyTower-Redux,NuLL Original map author Dxeh,28-12-2021 18:33:21,0:02:11,6.5,5
48,CTF-BT-Toxic-Warehouse,Ozma777,28-12-2021 18:40:12,0:05:28,1.33,1
49,CTF-BT-RushMap,GiorgiO.pX5,28-12-2021 18:42:35,0:01:29,1,2
